transaction_id,source_row_index,location_id,sector_score,para_a_discrepancy_cr,para_b_discrepancy_cr,total_discrepancy_cr,discrepancy_count,money_value_cr,district_loss_score,history_score,prior_screen_flag,prior_screen_score,risk_label,label_source,risk_category,difficulty,evidence_ids,split,dataset_version,generator_version
UCIA-0018,18,37,3.89,1.81,1.03,2.84,5,0.0,2,0,1,2.2,0,uci_audit_office_post_audit_finding,cleared_after_flag,hard,UCIA-0018:discrepancy-count;UCIA-0018:history;UCIA-0018:money-value;UCIA-0018:para-a;UCIA-0018:para-b;UCIA-0018:prior-screen;UCIA-0018:sector,evaluation,uci-audit-v1,1.0.0
UCIA-0019,19,37,3.89,4.86,46.78,51.64,5,63.18,2,0,1,4.4,1,uci_audit_office_post_audit_finding,misstatement_value,standard,UCIA-0019:discrepancy-count;UCIA-0019:history;UCIA-0019:money-value;UCIA-0019:para-a;UCIA-0019:para-b;UCIA-0019:prior-screen;UCIA-0019:sector,evaluation,uci-audit-v1,1.0.0
UCIA-0020,20,24,3.89,6.26,14.1,20.36,5,34.24,2,1,1,4.2,1,uci_audit_office_post_audit_finding,misstatement_value,standard,UCIA-0020:discrepancy-count;UCIA-0020:history;UCIA-0020:money-value;UCIA-0020:para-a;UCIA-0020:para-b;UCIA-0020:prior-screen;UCIA-0020:sector,evaluation,uci-audit-v1,1.0.0
UCIA-0021,21,3,3.89,0.02,5.94,5.96,5,0.01,2,0,1,2.6,0,uci_audit_office_post_audit_finding,cleared_after_flag,hard,UCIA-0021:discrepancy-count;UCIA-0021:history;UCIA-0021:money-value;UCIA-0021:para-a;UCIA-0021:para-b;UCIA-0021:prior-screen;UCIA-0021:sector,evaluation,uci-audit-v1,1.0.0
UCIA-0022,22,3,3.89,5.31,22.79,28.1,5,205.19,2,1,1,4.2,1,uci_audit_office_post_audit_finding,misstatement_value,standard,UCIA-0022:discrepancy-count;UCIA-0022:history;UCIA-0022:money-value;UCIA-0022:para-a;UCIA-0022:para-b;UCIA-0022:prior-screen;UCIA-0022:sector,development,uci-audit-v1,1.0.0
UCIA-0023,23,3,3.89,0.94,0.01,0.95,5,0.1,2,0,0,2.0,0,uci_audit_office_post_audit_finding,not_flagged,borderline,UCIA-0023:discrepancy-count;UCIA-0023:history;UCIA-0023:money-value;UCIA-0023:para-a;UCIA-0023:para-b;UCIA-0023:prior-screen;UCIA-0023:sector,evaluation,uci-audit-v1,1.0.0
UCIA-0024,24,4,3.89,5.78,57.92,63.7,5,11.16,2,0,1,4.0,1,uci_audit_office_post_audit_finding,unplanned_para_discrepancy,standard,UCIA-0024:discrepancy-count;UCIA-0024:history;UCIA-0024:money-value;UCIA-0024:para-a;UCIA-0024:para-b;UCIA-0024:prior-screen;UCIA-0024:sector,evaluation,uci-audit-v1,1.0.0
UCIA-0025,25,4,3.89,7.42,2.24,9.66,5,1.25,2,0,1,2.4,1,uci_audit_office_post_audit_finding,planned_para_discrepancy,standard,UCIA-0025:discrepancy-count;UCIA-0025:history;UCIA-0025:money-value;UCIA-0025:para-a;UCIA-0025:para-b;UCIA-0025:prior-screen;UCIA-0025:sector,development,uci-audit-v1,1.0.0
UCIA-0026,26,4,3.89,0.0,1.1,1.1,5,0.007,2,0,0,2.0,0,uci_audit_office_post_audit_finding,not_flagged,easy,UCIA-0026:discrepancy-count;UCIA-0026:history;UCIA-0026:money-value;UCIA-0026:para-a;UCIA-0026:para-b;UCIA-0026:prior-screen;UCIA-0026:sector,evaluation,uci-audit-v1,1.0.0
UCIA-0027,27,14,3.89,6.85,31.76,38.61,5,1.46,2,0,1,3.6,1,uci_audit_office_post_audit_finding,unplanned_para_discrepancy,standard,UCIA-0027:discrepancy-count;UCIA-0027:history;UCIA-0027:money-value;UCIA-0027:para-a;UCIA-0027:para-b;UCIA-0027:prior-screen;UCIA-0027:sector,development,uci-audit-v1,1.0.0
UCIA-0028,28,14,3.89,0.0,1.03,1.03,5,0.0,2,0,0,2.0,0,uci_audit_office_post_audit_finding,not_flagged,easy,UCIA-0028:discrepancy-count;UCIA-0028:history;UCIA-0028:money-value;UCIA-0028:para-a;UCIA-0028:para-b;UCIA-0028:prior-screen;UCIA-0028:sector,development,uci-audit-v1,1.0.0
UCIA-0029,29,37,3.89,0.0,0.75,0.75,5,6.78,2,0,1,2.2,0,uci_audit_office_post_audit_finding,cleared_after_flag,hard,UCIA-0029:discrepancy-count;UCIA-0029:history;UCIA-0029:money-value;UCIA-0029:para-a;UCIA-0029:para-b;UCIA-0029:prior-screen;UCIA-0029:sector,development,uci-audit-v1,1.0.0
UCIA-0030,30,37,3.89,2.4,16.63,19.03,5,1.16,2,0,1,3.6,1,uci_audit_office_post_audit_finding,unplanned_para_discrepancy,standard,UCIA-0030:discrepancy-count;UCIA-0030:history;UCIA-0030:money-value;UCIA-0030:para-a;UCIA-0030:para-b;UCIA-0030:prior-screen;UCIA-0030:sector,evaluation,uci-audit-v1,1.0.0
UCIA-0031,31,5,3.89,0.0,0.05,0.05,5,152.41,2,0,1,2.4,1,uci_audit_office_post_audit_finding,misstatement_value,standard,UCIA-0031:discrepancy-count;UCIA-0031:history;UCIA-0031:money-value;UCIA-0031:para-a;UCIA-0031:para-b;UCIA-0031:prior-screen;UCIA-0031:sector,development,uci-audit-v1,1.0.0
UCIA-0032,32,5,3.89,0.0,1.76,1.76,5,1.08,2,0,0,2.0,0,uci_audit_office_post_audit_finding,not_flagged,easy,UCIA-0032:discrepancy-count;UCIA-0032:history;UCIA-0032:money-value;UCIA-0032:para-a;UCIA-0032:para-b;UCIA-0032:prior-screen;UCIA-0032:sector,development,uci-audit-v1,1.0.0
UCIA-0033,33,5,3.89,0.0,2.97,2.97,5,2.84,2,0,0,2.0,0,uci_audit_office_post_audit_finding,not_flagged,easy,UCIA-0033:discrepancy-count;UCIA-0033:history;UCIA-0033:money-value;UCIA-0033:para-a;UCIA-0033:para-b;UCIA-0033:prior-screen;UCIA-0033:sector,development,uci-audit-v1,1.0.0
UCIA-0034,34,5,3.89,0.0,0.43,0.43,5,0.0,2,0,0,2.0,0,uci_audit_office_post_audit_finding,not_flagged,easy,UCIA-0034:discrepancy-count;UCIA-0034:history;UCIA-0034:money-value;UCIA-0034:para-a;UCIA-0034:para-b;UCIA-0034:prior-screen;UCIA-0034:sector,development,uci-audit-v1,1.0.0
UCIA-0035,35,5,3.89,0.0,0.94,0.94,5,0.9,2,0,0,2.0,0,uci_audit_office_post_audit_finding,not_flagged,easy,UCIA-0035:discrepancy-count;UCIA-0035:history;UCIA-0035:money-value;UCIA-0035:para-a;UCIA-0035:para-b;UCIA-0035:prior-screen;UCIA-0035:sector,evaluation,uci-audit-v1,1.0.0
UCIA-0036,36,20,3.89,9.01,19.82,28.83,5,9.67,2,0,1,3.8,1,uci_audit_office_post_audit_finding,unplanned_para_discrepancy,standard,UCIA-0036:discrepancy-count;UCIA-0036:history;UCIA-0036:money-value;UCIA-0036:para-a;UCIA-0036:para-b;UCIA-0036:prior-screen;UCIA-0036:sector,evaluation,uci-audit-v1,1.0.0
UCIA-0037,37,19,3.89,0.0,0.05,0.05,5,0.0,2,0,0,2.0,0,uci_audit_office_post_audit_finding,not_flagged,easy,UCIA-0037:discrepancy-count;UCIA-0037:history;UCIA-0037:money-value;UCIA-0037:para-a;UCIA-0037:para-b;UCIA-0037:prior-screen;UCIA-0037:sector,evaluation,uci-audit-v1,1.0.0
UCIA-0038,38,19,3.89,11.95,30.9,42.85,5,32.68,2,0,1,4.0,1,uci_audit_office_post_audit_finding,misstatement_value,standard,UCIA-0038:discrepancy-count;UCIA-0038:history;UCIA-0038:money-value;UCIA-0038:para-a;UCIA-0038:para-b;UCIA-0038:prior-screen;UCIA-0038:sector,evaluation,uci-audit-v1,1.0.0
UCIA-0039,39,19,3.89,7.97,17.18,25.15,5,935.03,2,0,1,4.0,1,uci_audit_office_post_audit_finding,misstatement_value,standard,UCIA-0039:discrepancy-count;UCIA-0039:history;UCIA-0039:money-value;UCIA-0039:para-a;UCIA-0039:para-b;UCIA-0039:prior-screen;UCIA-0039:sector,evaluation,uci-audit-v1,1.0.0
UCIA-0040,40,19,3.89,0.0,3.71,3.71,5,29.63,2,0,1,2.4,1,uci_audit_office_post_audit_finding,misstatement_value,standard,UCIA-0040:discrepancy-count;UCIA-0040:history;UCIA-0040:money-value;UCIA-0040:para-a;UCIA-0040:para-b;UCIA-0040:prior-screen;UCIA-0040:sector,development,uci-audit-v1,1.0.0
UCIA-0041,41,19,3.89,0.62,2.02,2.64,5,0.11,2,0,0,2.0,0,uci_audit_office_post_audit_finding,not_flagged,easy,UCIA-0041:discrepancy-count;UCIA-0041:history;UCIA-0041:money-value;UCIA-0041:para-a;UCIA-0041:para-b;UCIA-0041:prior-screen;UCIA-0041:sector,development,uci-audit-v1,1.0.0
UCIA-0042,42,19,3.89,0.0,2.27,2.27,5,2.62,2,0,0,2.0,0,uci_audit_office_post_audit_finding,not_flagged,easy,UCIA-0042:discrepancy-count;UCIA-0042:history;UCIA-0042:money-value;UCIA-0042:para-a;UCIA-0042:para-b;UCIA-0042:prior-screen;UCIA-0042:sector,development,uci-audit-v1,1.0.0
UCIA-0043,43,19,3.89,0.0,0.0,0.0,5,0.0,2,0,0,2.0,0,uci_audit_office_post_audit_finding,not_flagged,easy,UCIA-0043:discrepancy-count;UCIA-0043:history;UCIA-0043:money-value;UCIA-0043:para-a;UCIA-0043:para-b;UCIA-0043:prior-screen;UCIA-0043:sector,evaluation,uci-audit-v1,1.0.0
UCIA-0044,44,19,3.89,1.32,0.0,1.32,5,0.06,2,0,1,2.2,0,uci_audit_office_post_audit_finding,cleared_after_flag,hard,UCIA-0044:discrepancy-count;UCIA-0044:history;UCIA-0044:money-value;UCIA-0044:para-a;UCIA-0044:para-b;UCIA-0044:prior-screen;UCIA-0044:sector,development,uci-audit-v1,1.0.0
UCIA-0045,45,19,3.89,0.0,1.03,1.03,5,2.43,2,0,0,2.0,0,uci_audit_office_post_audit_finding,not_flagged,easy,UCIA-0045:discrepancy-count;UCIA-0045:history;UCIA-0045:money-value;UCIA-0045:para-a;UCIA-0045:para-b;UCIA-0045:prior-screen;UCIA-0045:sector,development,uci-audit-v1,1.0.0
UCIA-0046,46,21,3.89,0.0,15.38,15.38,5,126.13,2,0,1,3.6,1,uci_audit_office_post_audit_finding,misstatement_value,standard,UCIA-0046:discrepancy-count;UCIA-0046:history;UCIA-0046:money-value;UCIA-0046:para-a;UCIA-0046:para-b;UCIA-0046:prior-screen;UCIA-0046:sector,development,uci-audit-v1,1.0.0
UCIA-0047,47,21,3.89,0.0,1.02,1.02,5,0.0,2,0,0,2.0,0,uci_audit_office_post_audit_finding,not_flagged,easy,UCIA-0047:discrepancy-count;UCIA-0047:history;UCIA-0047:money-value;UCIA-0047:para-a;UCIA-0047:para-b;UCIA-0047:prior-screen;UCIA-0047:sector,evaluation,uci-audit-v1,1.0.0
UCIA-0048,48,21,3.89,0.0,20.71,20.71,5,20.79,2,2,1,4.0,1,uci_audit_office_post_audit_finding,misstatement_value,standard,UCIA-0048:discrepancy-count;UCIA-0048:history;UCIA-0048:money-value;UCIA-0048:para-a;UCIA-0048:para-b;UCIA-0048:prior-screen;UCIA-0048:sector,evaluation,uci-audit-v1,1.0.0
UCIA-0049,49,22,3.89,2.95,6.56,9.51,5,156.92,2,0,1,3.4,1,uci_audit_office_post_audit_finding,misstatement_value,standard,UCIA-0049:discrepancy-count;UCIA-0049:history;UCIA-0049:money-value;UCIA-0049:para-a;UCIA-0049:para-b;UCIA-0049:prior-screen;UCIA-0049:sector,development,uci-audit-v1,1.0.0
UCIA-0050,50,22,3.89,1.97,2.1,4.07,5,12.29,2,0,1,3.0,1,uci_audit_office_post_audit_finding,misstatement_value,borderline,UCIA-0050:discrepancy-count;UCIA-0050:history;UCIA-0050:money-value;UCIA-0050:para-a;UCIA-0050:para-b;UCIA-0050:prior-screen;UCIA-0050:sector,development,uci-audit-v1,1.0.0
UCIA-0051,51,22,3.89,0.0,18.05,18.05,5,2.29,2,0,1,3.2,1,uci_audit_office_post_audit_finding,unplanned_para_discrepancy,standard,UCIA-0051:discrepancy-count;UCIA-0051:history;UCIA-0051:money-value;UCIA-0051:para-a;UCIA-0051:para-b;UCIA-0051:prior-screen;UCIA-0051:sector,development,uci-audit-v1,1.0.0
UCIA-0052,52,22,3.89,0.0,0.93,0.93,5,7.78,2,0,1,2.2,0,uci_audit_office_post_audit_finding,cleared_after_flag,hard,UCIA-0052:discrepancy-count;UCIA-0052:history;UCIA-0052:money-value;UCIA-0052:para-a;UCIA-0052:para-b;UCIA-0052:prior-screen;UCIA-0052:sector,development,uci-audit-v1,1.0.0
UCIA-0053,53,9,3.89,0.0,1.61,1.61,5,2.51,2,0,0,2.0,0,uci_audit_office_post_audit_finding,not_flagged,easy,UCIA-0053:discrepancy-count;UCIA-0053:history;UCIA-0053:money-value;UCIA-0053:para-a;UCIA-0053:para-b;UCIA-0053:prior-screen;UCIA-0053:sector,evaluation,uci-audit-v1,1.0.0
UCIA-0054,54,9,3.89,6.32,9.01,15.33,5,8.31,2,0,1,3.2,1,uci_audit_office_post_audit_finding,unplanned_para_discrepancy,standard,UCIA-0054:discrepancy-count;UCIA-0054:history;UCIA-0054:money-value;UCIA-0054:para-a;UCIA-0054:para-b;UCIA-0054:prior-screen;UCIA-0054:sector,evaluation,uci-audit-v1,1.0.0
UCIA-0055,55,9,3.89,0.0,1.05,1.05,5,0.16,2,0,0,2.0,0,uci_audit_office_post_audit_finding,not_flagged,easy,UCIA-0055:discrepancy-count;UCIA-0055:history;UCIA-0055:money-value;UCIA-0055:para-a;UCIA-0055:para-b;UCIA-0055:prior-screen;UCIA-0055:sector,development,uci-audit-v1,1.0.0
UCIA-0056,56,11,3.89,0.0,6.8,6.8,5,47.9,2,0,1,3.0,1,uci_audit_office_post_audit_finding,misstatement_value,standard,UCIA-0056:discrepancy-count;UCIA-0056:history;UCIA-0056:money-value;UCIA-0056:para-a;UCIA-0056:para-b;UCIA-0056:prior-screen;UCIA-0056:sector,development,uci-audit-v1,1.0.0
UCIA-0057,57,11,3.89,14.04,10.83,24.87,5,8.91,2,0,1,3.8,1,uci_audit_office_post_audit_finding,planned_para_discrepancy,standard,UCIA-0057:discrepancy-count;UCIA-0057:history;UCIA-0057:money-value;UCIA-0057:para-a;UCIA-0057:para-b;UCIA-0057:prior-screen;UCIA-0057:sector,development,uci-audit-v1,1.0.0
UCIA-0058,58,11,3.89,6.67,18.02,24.69,5,4.95,2,2,1,4.4,1,uci_audit_office_post_audit_finding,unplanned_para_discrepancy,standard,UCIA-0058:discrepancy-count;UCIA-0058:history;UCIA-0058:money-value;UCIA-0058:para-a;UCIA-0058:para-b;UCIA-0058:prior-screen;UCIA-0058:sector,development,uci-audit-v1,1.0.0
UCIA-0059,59,11,3.89,0.0,0.0,0.0,5,1.75,2,0,0,2.0,0,uci_audit_office_post_audit_finding,not_flagged,easy,UCIA-0059:discrepancy-count;UCIA-0059:history;UCIA-0059:money-value;UCIA-0059:para-a;UCIA-0059:para-b;UCIA-0059:prior-screen;UCIA-0059:sector,evaluation,uci-audit-v1,1.0.0
UCIA-0060,60,11,3.89,0.0,0.08,0.08,5,0.68,2,0,0,2.0,0,uci_audit_office_post_audit_finding,not_flagged,easy,UCIA-0060:discrepancy-count;UCIA-0060:history;UCIA-0060:money-value;UCIA-0060:para-a;UCIA-0060:para-b;UCIA-0060:prior-screen;UCIA-0060:sector,development,uci-audit-v1,1.0.0
UCIA-0061,61,11,3.89,1.26,0.05,1.31,5,0.0,2,0,1,2.2,0,uci_audit_office_post_audit_finding,cleared_after_flag,hard,UCIA-0061:discrepancy-count;UCIA-0061:history;UCIA-0061:money-value;UCIA-0061:para-a;UCIA-0061:para-b;UCIA-0061:prior-screen;UCIA-0061:sector,development,uci-audit-v1,1.0.0
UCIA-0062,62,12,3.89,0.0,0.03,0.03,5,0.06,2,0,0,2.0,0,uci_audit_office_post_audit_finding,not_flagged,easy,UCIA-0062:discrepancy-count;UCIA-0062:history;UCIA-0062:money-value;UCIA-0062:para-a;UCIA-0062:para-b;UCIA-0062:prior-screen;UCIA-0062:sector,evaluation,uci-audit-v1,1.0.0
UCIA-0063,63,12,3.89,0.0,0.79,0.79,5,15.82,2,0,1,2.4,1,uci_audit_office_post_audit_finding,misstatement_value,standard,UCIA-0063:discrepancy-count;UCIA-0063:history;UCIA-0063:money-value;UCIA-0063:para-a;UCIA-0063:para-b;UCIA-0063:prior-screen;UCIA-0063:sector,development,uci-audit-v1,1.0.0
UCIA-0064,64,12,3.89,4.76,13.03,17.79,5,0.58,2,1,1,3.8,1,uci_audit_office_post_audit_finding,unplanned_para_discrepancy,standard,UCIA-0064:discrepancy-count;UCIA-0064:history;UCIA-0064:money-value;UCIA-0064:para-a;UCIA-0064:para-b;UCIA-0064:prior-screen;UCIA-0064:sector,evaluation,uci-audit-v1,1.0.0
UCIA-0065,65,12,3.89,8.81,9.02,17.83,5,215.31,2,1,1,3.6,1,uci_audit_office_post_audit_finding,misstatement_value,standard,UCIA-0065:discrepancy-count;UCIA-0065:history;UCIA-0065:money-value;UCIA-0065:para-a;UCIA-0065:para-b;UCIA-0065:prior-screen;UCIA-0065:sector,development,uci-audit-v1,1.0.0
UCIA-0066,66,12,3.89,0.0,0.07,0.07,5,0.0,2,0,0,2.0,0,uci_audit_office_post_audit_finding,not_flagged,easy,UCIA-0066:discrepancy-count;UCIA-0066:history;UCIA-0066:money-value;UCIA-0066:para-a;UCIA-0066:para-b;UCIA-0066:prior-screen;UCIA-0066:sector,development,uci-audit-v1,1.0.0
UCIA-0067,67,12,3.89,13.92,2.2,16.12,5,0.05,2,0,1,2.4,1,uci_audit_office_post_audit_finding,planned_para_discrepancy,standard,UCIA-0067:discrepancy-count;UCIA-0067:history;UCIA-0067:money-value;UCIA-0067:para-a;UCIA-0067:para-b;UCIA-0067:prior-screen;UCIA-0067:sector,evaluation,uci-audit-v1,1.0.0
UCIA-0068,68,12,3.89,1.07,0.0,1.07,5,0.0,2,0,1,2.2,0,uci_audit_office_post_audit_finding,cleared_after_flag,hard,UCIA-0068:discrepancy-count;UCIA-0068:history;UCIA-0068:money-value;UCIA-0068:para-a;UCIA-0068:para-b;UCIA-0068:prior-screen;UCIA-0068:sector,development,uci-audit-v1,1.0.0
UCIA-0069,69,12,3.89,0.0,0.89,0.89,5,0.0,2,0,0,2.0,0,uci_audit_office_post_audit_finding,not_flagged,easy,UCIA-0069:discrepancy-count;UCIA-0069:history;UCIA-0069:money-value;UCIA-0069:para-a;UCIA-0069:para-b;UCIA-0069:prior-screen;UCIA-0069:sector,evaluation,uci-audit-v1,1.0.0
UCIA-0070,70,8,3.89,0.0,3.98,3.98,6,53.34,2,0,1,3.2,1,uci_audit_office_post_audit_finding,misstatement_value,standard,UCIA-0070:discrepancy-count;UCIA-0070:history;UCIA-0070:money-value;UCIA-0070:para-a;UCIA-0070:para-b;UCIA-0070:prior-screen;UCIA-0070:sector,evaluation,uci-audit-v1,1.0.0
UCIA-0071,71,8,3.89,10.0,74.26,84.26,5,11.16,2,3,1,4.8,1,uci_audit_office_post_audit_finding,unplanned_para_discrepancy,standard,UCIA-0071:discrepancy-count;UCIA-0071:history;UCIA-0071:money-value;UCIA-0071:para-a;UCIA-0071:para-b;UCIA-0071:prior-screen;UCIA-0071:sector,evaluation,uci-audit-v1,1.0.0
UCIA-0072,72,29,3.89,4.24,8.06,12.3,5,10.69,2,0,1,3.4,1,uci_audit_office_post_audit_finding,misstatement_value,standard,UCIA-0072:discrepancy-count;UCIA-0072:history;UCIA-0072:money-value;UCIA-0072:para-a;UCIA-0072:para-b;UCIA-0072:prior-screen;UCIA-0072:sector,development,uci-audit-v1,1.0.0
UCIA-0073,73,29,3.89,12.27,72.46,84.73,5,5.69,2,0,1,3.8,1,uci_audit_office_post_audit_finding,unplanned_para_discrepancy,standard,UCIA-0073:discrepancy-count;UCIA-0073:history;UCIA-0073:money-value;UCIA-0073:para-a;UCIA-0073:para-b;UCIA-0073:prior-screen;UCIA-0073:sector,evaluation,uci-audit-v1,1.0.0
UCIA-0074,74,29,3.89,0.0,0.96,0.96,5,1.35,2,0,0,2.0,0,uci_audit_office_post_audit_finding,not_flagged,easy,UCIA-0074:discrepancy-count;UCIA-0074:history;UCIA-0074:money-value;UCIA-0074:para-a;UCIA-0074:para-b;UCIA-0074:prior-screen;UCIA-0074:sector,development,uci-audit-v1,1.0.0
UCIA-0075,75,30,3.89,12.7,1.28,13.98,5,11.69,2,0,1,2.8,1,uci_audit_office_post_audit_finding,planned_para_discrepancy,standard,UCIA-0075:discrepancy-count;UCIA-0075:history;UCIA-0075:money-value;UCIA-0075:para-a;UCIA-0075:para-b;UCIA-0075:prior-screen;UCIA-0075:sector,development,uci-audit-v1,1.0.0
