"transaction_id","posted_at","fiscal_year","fiscal_period","vendor_name","vendor_id","supplier_country","gl_account","account_name","department","cost_center","region","currency","fx_rate_used","amount_original","amount_usd","debit","credit","invoice_number","po_number","payment_method","posted_by","approved_by","approval_status","document_status","related_party_flag","risk_hint","description"
"TRX-000030","2026-02-01 03:30:00","2026","P02","Zenith Consulting","V-0231","India","6100","Travel and expense","Finance","CC-051","India","USD","1","11920","11920","11920","0","INV-001110","","ACH","a.anand","r.menon","approved","complete","N","normal","Sample ledger transaction for Zenith Consulting - Travel and expense"
"TRX-000031","2026-02-02 06:43:00","2026","P02","Mehta Family Holdings","V-0260","UK","6600","Legal fees","IT","CC-058","UK","INR","0.012","1025750","12309","12309","0","INV-001147","PO-000961","Manual journal","n.patel","n.patel","self_approved","missing_sow","Y","document_gap","Sample ledger transaction for Mehta Family Holdings - Legal fees"
"TRX-000032","2026-02-02 09:56:00","2026","P02","Vertex Components","V-0289","APAC","6100","Travel and expense","Legal","CC-065","APAC","EUR","1.08","11757.41","12698","12698","0","INV-001184","PO-000992","UPI","rkumar","p.nair","approved","unsigned_invoice","N","sod_review","Sample ledger transaction for Vertex Components - Travel and expense"
"TRX-000033","2026-02-03 12:09:00","2026","P02","Unknown Vendor","V-0318","India","6600","Legal fees","Executive","CC-072","India","GBP","1.27","10304.72","13087","13087","0","INV-001221","PO-001023","Check","s.iyer","m.lee","approved","pending_registry","N","document_gap","Sample ledger transaction for Unknown Vendor - Legal fees"
"TRX-000034","2026-02-04 15:22:00","2026","P02","SkyHigh Travel","V-0027","UK","6100","Travel and expense","Operations","CC-079","UK","SGD","0.74","18210.81","13476","13476","0","INV-001258","PO-001054","Corporate card","m.lee","a.anand","approved","manual_override","N","document_gap","Sample ledger transaction for SkyHigh Travel - Travel and expense"
"TRX-000035","2026-02-05 18:35:00","2026","P02","GreenLeaf Facilities","V-0056","APAC","6600","Legal fees","Procurement","CC-006","APAC","USD","1","13865","13865","13865","0","INV-001295","PO-001085","Wire","p.nair","j.martin","approved","duplicate_support","N","document_gap","Sample ledger transaction for GreenLeaf Facilities - Legal fees"
"TRX-000036","2026-02-06 21:48:00","2026","P02","Test Supplier LLC","V-0085","India","6100","Travel and expense","Facilities","CC-013","India","INR","0.012","-1187833.33","-14254","0","14254","INV-001332","","ACH","admin","c.reed","approved","complete","N","sod_review","Sample ledger transaction for Test Supplier LLC - Travel and expense"
"TRX-000037","2026-02-08 00:01:00","2026","P02","Staples Inc","V-0114","UK","6600","Legal fees","Sales","CC-020","UK","EUR","1.08","13558.33","14643","14643","0","INV-001369","PO-001147","Manual journal","l.ortiz","v.shah","approved","missing_sow","N","document_gap","Sample ledger transaction for Staples Inc - Legal fees"
"TRX-000038","2026-02-09 03:14:00","2026","P02","Omega Legal LLP","V-0143","APAC","6100","Travel and expense","HR","CC-027","APAC","GBP","1.27","11836.22","15032","15032","0","INV-001406","PO-001178","UPI","j.martin","r.menon","approved","unsigned_invoice","N","document_gap","Sample ledger transaction for Omega Legal LLP - Travel and expense"
"TRX-000039","2026-02-10 06:27:00","2026","P02","Rao Family Trust","V-0172","India","6600","Legal fees","Marketing","CC-034","India","SGD","0.74","20839.19","15421","15421","0","INV-001443","PO-001209","Check","system","n.patel","approved","pending_registry","Y","sod_review","Sample ledger transaction for Rao Family Trust - Legal fees"
"TRX-000040","2026-02-10 09:40:00","2026","P02","Northstar Advisory","V-0201","UK","6100","Travel and expense","Finance","CC-041","UK","USD","1","15810","15810","15810","0","INV-001480","PO-001240","Corporate card","a.anand","p.nair","approved","manual_override","N","document_gap","Sample ledger transaction for Northstar Advisory - Travel and expense"
"TRX-000041","2026-02-11 12:53:00","2026","P02","Nova Cloud Services","V-0230","APAC","6600","Legal fees","IT","CC-048","APAC","INR","0.012","1333333.33","16000","16000","0","INV-001517","PO-001271","Wire","n.patel","m.lee","approved","duplicate_support","N","document_gap","Sample ledger transaction for Nova Cloud Services - Legal fees"
"TRX-000042","2026-02-12 15:06:00","2026","P02","Atlas Hardware","V-0259","India","6100","Travel and expense","Legal","CC-055","India","EUR","1.08","15359.26","16588","16588","0","INV-001554","","ACH","rkumar","a.anand","manual_override","complete","N","sod_review","Sample ledger transaction for Atlas Hardware - Travel and expense"
"TRX-000043","2026-02-13 18:19:00","2026","P02","Keller Logistics","V-0288","UK","6600","Legal fees","Executive","CC-062","UK","GBP","1.27","13367.72","16977","16977","0","INV-001591","PO-001333","Manual journal","s.iyer","j.martin","approved","missing_sow","N","document_gap","Sample ledger transaction for Keller Logistics - Legal fees"
"TRX-000044","2026-02-14 21:32:00","2026","P02","Metro Office Supply","V-0317","APAC","6100","Travel and expense","Operations","CC-069","APAC","SGD","0.74","23467.57","17366","17366","0","INV-001628","PO-001364","UPI","m.lee","c.reed","approved","unsigned_invoice","N","document_gap","Sample ledger transaction for Metro Office Supply - Travel and expense"
"TRX-000045","2026-02-16 00:45:00","2026","P02","Swift Courier","V-0026","India","6600","Legal fees","Procurement","CC-076","India","USD","1","-17755","-17755","0","17755","INV-001665","PO-001395","Check","p.nair","v.shah","approved","pending_registry","N","document_gap","Sample ledger transaction for Swift Courier - Legal fees"
"TRX-000046","2026-02-17 03:58:00","2026","P02","BluePeak Software","V-0055","UK","6100","Travel and expense","Facilities","CC-003","UK","INR","0.012","1512000","18144","18144","0","INV-001702","PO-001426","Corporate card","admin","r.menon","approved","manual_override","N","sod_review","Sample ledger transaction for BluePeak Software - Travel and expense"
"TRX-000047","2026-02-18 06:11:00","2026","P02","Pioneer Freight","V-0084","APAC","6600","Legal fees","Sales","CC-010","APAC","EUR","1.08","17160.19","18533","18533","0","INV-001739","PO-001457","Wire","l.ortiz","n.patel","approved","duplicate_support","N","document_gap","Sample ledger transaction for Pioneer Freight - Legal fees"
"TRX-000048","2026-02-18 09:24:00","2026","P02","Crescent Contractors","V-0113","India","6100","Travel and expense","HR","CC-017","India","GBP","1.27","14899.21","18922","18922","0","INV-001776","","ACH","j.martin","p.nair","approved","complete","N","normal","Sample ledger transaction for Crescent Contractors - Travel and expense"
"TRX-000049","2026-02-19 12:37:00","2026","P02","AdReach Media","V-0142","UK","6600","Legal fees","Marketing","CC-024","UK","SGD","0.74","26095.95","19311","19311","0","INV-001813","PO-001519","Manual journal","system","m.lee","approved","missing_sow","N","sod_review","Sample ledger transaction for AdReach Media - Legal fees"
"TRX-000050","2026-02-20 15:50:00","2026","P02","Zenith Consulting","V-0171","APAC","6100","Travel and expense","Finance","CC-031","APAC","USD","1","19700","19700","19700","0","INV-001850","PO-001550","UPI","a.anand","a.anand","self_approved","unsigned_invoice","N","document_gap","Sample ledger transaction for Zenith Consulting - Travel and expense"
"TRX-000051","2026-02-21 18:03:00","2026","P02","Mehta Family Holdings","V-0200","India","6600","Legal fees","IT","CC-038","India","INR","0.012","1674083.33","20089","20089","0","INV-001887","PO-001581","Check","n.patel","j.martin","approved","pending_registry","Y","document_gap","Sample ledger transaction for Mehta Family Holdings - Legal fees"
"TRX-000052","2026-02-22 21:16:00","2026","P02","Vertex Components","V-0229","UK","6100","Travel and expense","Legal","CC-045","UK","EUR","1.08","18961.11","20478","20478","0","INV-001924","PO-001612","Corporate card","rkumar","c.reed","approved","manual_override","N","sod_review","Sample ledger transaction for Vertex Components - Travel and expense"
"TRX-000053","2026-02-24 00:29:00","2026","P02","Unknown Vendor","V-0258","APAC","6600","Legal fees","Executive","CC-052","APAC","GBP","1.27","16430.71","20867","20867","0","INV-001961","PO-001643","Wire","s.iyer","v.shah","approved","duplicate_support","N","document_gap","Sample ledger transaction for Unknown Vendor - Legal fees"
"TRX-000054","2026-02-25 03:42:00","2026","P02","SkyHigh Travel","V-0287","India","6100","Travel and expense","Operations","CC-059","India","SGD","0.74","-28724.32","-21256","0","21256","INV-001998","","ACH","m.lee","r.menon","approved","complete","N","normal","Sample ledger transaction for SkyHigh Travel - Travel and expense"
"TRX-000055","2026-02-26 06:55:00","2026","P02","GreenLeaf Facilities","V-0316","UK","6600","Legal fees","Procurement","CC-066","UK","USD","1","21645","21645","21645","0","INV-002035","PO-001705","Manual journal","p.nair","n.patel","approved","missing_sow","N","document_gap","Sample ledger transaction for GreenLeaf Facilities - Legal fees"
"TRX-000056","2026-02-26 09:08:00","2026","P02","Test Supplier LLC","V-0025","APAC","6100","Travel and expense","Facilities","CC-073","APAC","INR","0.012","1836166.67","22034","22034","0","INV-002072","PO-001736","UPI","admin","p.nair","manual_override","unsigned_invoice","N","sod_review","Sample ledger transaction for Test Supplier LLC - Travel and expense"
"TRX-000057","2026-02-27 12:21:00","2026","P02","Staples Inc","V-0054","India","6600","Legal fees","Sales","CC-080","India","EUR","1.08","20762.04","22423","22423","0","INV-002109","PO-001767","Check","l.ortiz","m.lee","approved","pending_registry","N","document_gap","Sample ledger transaction for Staples Inc - Legal fees"
"TRX-000058","2026-02-28 15:34:00","2026","P02","Omega Legal LLP","V-0083","UK","6100","Travel and expense","HR","CC-007","UK","GBP","1.27","17962.2","22812","22812","0","INV-002146","PO-001798","Corporate card","j.martin","a.anand","approved","manual_override","N","document_gap","Sample ledger transaction for Omega Legal LLP - Travel and expense"
"TRX-000059","2026-03-01 18:47:00","2026","P03","Rao Family Trust","V-0112","APAC","6600","Legal fees","Marketing","CC-014","APAC","SGD","0.74","31352.7","23201","23201","0","INV-002183","PO-001829","Wire","system","j.martin","approved","duplicate_support","Y","sod_review","Sample ledger transaction for Rao Family Trust - Legal fees"
"TRX-000060","2026-03-02 21:00:00","2026","P03","Northstar Advisory","V-0141","India","6100","Travel and expense","Finance","CC-021","India","USD","1","23590","23590","23590","0","INV-002220","","ACH","a.anand","c.reed","approved","complete","N","normal","Sample ledger transaction for Northstar Advisory - Travel and expense"
"TRX-000061","2026-03-04 00:13:00","2026","P03","Nova Cloud Services","V-0170","UK","6600","Legal fees","IT","CC-028","UK","INR","0.012","1998250","23979","23979","0","INV-002257","PO-001891","Manual journal","n.patel","v.shah","approved","missing_sow","N","document_gap","Sample ledger transaction for Nova Cloud Services - Legal fees"
"TRX-000062","2026-03-05 03:26:00","2026","P03","Atlas Hardware","V-0199","APAC","6100","Travel and expense","Legal","CC-035","APAC","EUR","1.08","22562.96","24368","24368","0","INV-002294","PO-001922","UPI","rkumar","r.menon","approved","unsigned_invoice","N","sod_review","Sample ledger transaction for Atlas Hardware - Travel and expense"
"TRX-000063","2026-03-06 06:39:00","2026","P03","Keller Logistics","V-0228","India","6600","Legal fees","Executive","CC-042","India","GBP","1.27","-19493.7","-24757","0","24757","INV-002331","PO-001953","Check","s.iyer","n.patel","approved","pending_registry","N","document_gap","Sample ledger transaction for Keller Logistics - Legal fees"
"TRX-000064","2026-03-06 09:52:00","2026","P03","Metro Office Supply","V-0257","UK","6100","Travel and expense","Operations","CC-049","UK","SGD","0.74","33981.08","25146","25146","0","INV-002368","PO-001984","Corporate card","m.lee","p.nair","approved","manual_override","N","document_gap","Sample ledger transaction for Metro Office Supply - Travel and expense"
"TRX-000065","2026-03-07 12:05:00","2026","P03","Swift Courier","V-0286","APAC","6600","Legal fees","Procurement","CC-056","APAC","USD","1","25535","25535","25535","0","INV-002405","PO-002015","Wire","p.nair","m.lee","approved","duplicate_support","N","document_gap","Sample ledger transaction for Swift Courier - Legal fees"
"TRX-000066","2026-03-08 15:18:00","2026","P03","BluePeak Software","V-0315","India","6100","Travel and expense","Facilities","CC-063","India","INR","0.012","2160333.33","25924","25924","0","INV-002442","","ACH","admin","a.anand","approved","complete","N","sod_review","Sample ledger transaction for BluePeak Software - Travel and expense"
"TRX-000067","2026-03-09 18:31:00","2026","P03","Pioneer Freight","V-0024","UK","6600","Legal fees","Sales","CC-070","UK","EUR","1.08","24363.89","26313","26313","0","INV-002479","PO-002077","Manual journal","l.ortiz","l.ortiz","self_approved","missing_sow","N","document_gap","Sample ledger transaction for Pioneer Freight - Legal fees"
"TRX-000068","2026-03-10 21:44:00","2026","P03","Crescent Contractors","V-0053","APAC","6100","Travel and expense","HR","CC-077","APAC","GBP","1.27","21025.2","26702","26702","0","INV-002516","PO-002108","UPI","j.martin","c.reed","approved","unsigned_invoice","N","document_gap","Sample ledger transaction for Crescent Contractors - Travel and expense"
"TRX-000069","2026-03-12 00:57:00","2026","P03","AdReach Media","V-0082","India","6600","Legal fees","Marketing","CC-004","India","SGD","0.74","36609.46","27091","27091","0","INV-002553","PO-002139","Check","system","v.shah","approved","pending_registry","N","sod_review","Sample ledger transaction for AdReach Media - Legal fees"
"TRX-000070","2026-03-13 03:10:00","2026","P03","Zenith Consulting","V-0111","UK","6100","Travel and expense","Finance","CC-011","UK","USD","1","27480","27480","27480","0","INV-002590","PO-002170","Corporate card","a.anand","r.menon","manual_override","manual_override","N","document_gap","Sample ledger transaction for Zenith Consulting - Travel and expense"
"TRX-000071","2026-03-14 06:23:00","2026","P03","Mehta Family Holdings","V-0140","APAC","6600","Legal fees","IT","CC-018","APAC","INR","0.012","2322416.67","27869","27869","0","INV-002627","PO-002201","Wire","n.patel","n.patel","self_approved","duplicate_support","Y","related_party_material","Sample ledger transaction for Mehta Family Holdings - Legal fees"
"TRX-000072","2026-03-14 09:36:00","2026","P03","Vertex Components","V-0169","India","6100","Travel and expense","Legal","CC-025","India","EUR","1.08","-26164.81","-28258","0","28258","INV-002664","","ACH","rkumar","p.nair","approved","complete","N","sod_review","Sample ledger transaction for Vertex Components - Travel and expense"
"TRX-000073","2026-03-16 23:42:00","2026","P03","Unknown Vendor","V-0198","UK","6600","Legal fees","Executive","CC-032","UK","GBP","1.27","22556.69","28647","28647","0","INV-002701","PO-002263","Manual journal","s.iyer","m.lee","approved","missing_sow","N","document_gap","Sample ledger transaction for Unknown Vendor - Legal fees"
"TRX-000074","2026-03-16 15:02:00","2026","P03","SkyHigh Travel","V-0227","APAC","6100","Travel and expense","Operations","CC-039","APAC","SGD","0.74","39237.84","29036","29036","0","INV-002738","PO-002294","UPI","m.lee","a.anand","approved","unsigned_invoice","N","document_gap","Sample ledger transaction for SkyHigh Travel - Travel and expense"
"TRX-000075","2026-03-17 18:15:00","2026","P03","GreenLeaf Facilities","V-0256","India","6600","Legal fees","Procurement","CC-046","India","USD","1","29425","29425","29425","0","INV-002775","PO-002325","Check","p.nair","j.martin","approved","pending_registry","N","document_gap","Sample ledger transaction for GreenLeaf Facilities - Legal fees"
"TRX-000076","2026-03-18 21:28:00","2026","P03","Test Supplier LLC","V-0285","UK","6100","Travel and expense","Facilities","CC-053","UK","INR","0.012","2484500","29814","29814","0","INV-002812","PO-002356","Corporate card","admin","c.reed","approved","manual_override","N","sod_review","Sample ledger transaction for Test Supplier LLC - Travel and expense"
"TRX-000077","2026-03-20 00:41:00","2026","P03","Staples Inc","V-0314","APAC","6600","Legal fees","Sales","CC-060","APAC","EUR","1.08","27965.74","30203","30203","0","INV-002849","PO-002387","Wire","l.ortiz","v.shah","approved","duplicate_support","N","document_gap","Sample ledger transaction for Staples Inc - Legal fees"
"TRX-000078","2026-03-21 03:54:00","2026","P03","Omega Legal LLP","V-0023","India","6100","Travel and expense","HR","CC-067","India","GBP","1.27","24088.19","30592","30592","0","INV-002886","","ACH","j.martin","r.menon","approved","complete","N","normal","Sample ledger transaction for Omega Legal LLP - Travel and expense"
"TRX-000079","2026-03-22 06:07:00","2026","P03","Rao Family Trust","V-0052","UK","6600","Legal fees","Marketing","CC-074","UK","SGD","0.74","41866.22","30981","30981","0","INV-002923","PO-002449","Manual journal","system","n.patel","approved","missing_sow","Y","related_party_material","Sample ledger transaction for Rao Family Trust - Legal fees"
"TRX-000080","2026-03-22 09:20:00","2026","P03","Northstar Advisory","V-0081","APAC","6100","Travel and expense","Finance","CC-001","APAC","USD","1","31370","31370","31370","0","INV-002960","PO-002480","UPI","a.anand","p.nair","approved","unsigned_invoice","N","document_gap","Sample ledger transaction for Northstar Advisory - Travel and expense"
"TRX-000081","2026-03-23 12:33:00","2026","P03","Nova Cloud Services","V-0110","India","6600","Legal fees","IT","CC-008","India","INR","0.012","-2646583.33","-31759","0","31759","INV-002997","PO-002511","Check","n.patel","m.lee","approved","pending_registry","N","document_gap","Sample ledger transaction for Nova Cloud Services - Legal fees"
"TRX-000082","2026-03-24 15:46:00","2026","P03","Atlas Hardware","V-0139","UK","6100","Travel and expense","Legal","CC-015","UK","EUR","1.08","29629.63","32000","32000","0","INV-003034","PO-002542","Corporate card","rkumar","a.anand","approved","manual_override","N","sod_review","Sample ledger transaction for Atlas Hardware - Travel and expense"
"TRX-000083","2026-03-25 18:59:00","2026","P03","Keller Logistics","V-0168","APAC","6600","Legal fees","Executive","CC-022","APAC","GBP","1.27","25619.69","32537","32537","0","INV-003071","PO-002573","Wire","s.iyer","j.martin","approved","duplicate_support","N","document_gap","Sample ledger transaction for Keller Logistics - Legal fees"
"TRX-000084","2026-03-26 21:12:00","2026","P03","Metro Office Supply","V-0197","India","6100","Travel and expense","Operations","CC-029","India","SGD","0.74","44494.59","32926","32926","0","INV-003108","","ACH","m.lee","c.reed","manual_override","complete","N","normal","Sample ledger transaction for Metro Office Supply - Travel and expense"
"TRX-000085","2026-03-28 00:25:00","2026","P03","Swift Courier","V-0226","UK","6600","Legal fees","Procurement","CC-036","UK","USD","1","33315","33315","33315","0","INV-003145","PO-002635","Manual journal","p.nair","v.shah","approved","missing_sow","N","document_gap","Sample ledger transaction for Swift Courier - Legal fees"
"TRX-000086","2026-03-29 03:38:00","2026","P03","BluePeak Software","V-0255","APAC","6100","Travel and expense","Facilities","CC-043","APAC","INR","0.012","2808666.67","33704","33704","0","INV-003182","PO-002666","UPI","admin","r.menon","approved","unsigned_invoice","N","sod_review","Sample ledger transaction for BluePeak Software - Travel and expense"
"TRX-000087","2026-03-30 06:51:00","2026","P03","Pioneer Freight","V-0284","India","6600","Legal fees","Sales","CC-050","India","EUR","1.08","31567.59","34093","34093","0","INV-003219","PO-002697","Check","l.ortiz","n.patel","approved","pending_registry","N","document_gap","Sample ledger transaction for Pioneer Freight - Legal fees"
"TRX-000088","2026-03-30 09:04:00","2026","P03","Crescent Contractors","V-0313","UK","6100","Travel and expense","HR","CC-057","UK","GBP","1.27","27151.18","34482","34482","0","INV-003256","PO-002728","Corporate card","j.martin","p.nair","approved","manual_override","N","document_gap","Sample ledger transaction for Crescent Contractors - Travel and expense"
"TRX-000089","2026-03-31 12:17:00","2026","P03","AdReach Media","V-0022","APAC","6600","Legal fees","Marketing","CC-064","APAC","SGD","2.7","12915.19","34871","34871","0","INV-003293","PO-002759","Wire","system","m.lee","approved","duplicate_support","N","sod_review","Sample ledger transaction for AdReach Media - Legal fees"
