method,transaction_id,gold_label,prediction,error_type,confidence,category,difficulty,run_error,citations,explanation
logistic_reference,GLB-000435,0,1,false_positive,0.643649,normal,standard,,,logistic regression fitted on the development split; p(risk)=0.6436
logistic_reference,GLB-000539,0,1,false_positive,0.607238,normal,standard,,,logistic regression fitted on the development split; p(risk)=0.6072
logistic_reference,GLB-000371,0,1,false_positive,0.659892,normal,standard,,,logistic regression fitted on the development split; p(risk)=0.6599
logistic_reference,GLB-000352,1,0,false_negative,0.486737,materiality,standard,,,logistic regression fitted on the development split; p(risk)=0.4867
logistic_reference,GLB-000455,0,1,false_positive,0.588395,normal,standard,,,logistic regression fitted on the development split; p(risk)=0.5884
logistic_reference,GLB-000195,0,1,false_positive,0.542325,normal,standard,,,logistic regression fitted on the development split; p(risk)=0.5423
logistic_reference,GLB-000151,0,1,false_positive,0.599898,normal,standard,,,logistic regression fitted on the development split; p(risk)=0.5999
logistic_reference,GLB-000407,0,1,false_positive,0.617259,normal,standard,,,logistic regression fitted on the development split; p(risk)=0.6173
logistic_reference,GLB-000419,0,1,false_positive,0.610964,normal,standard,,,logistic regression fitted on the development split; p(risk)=0.6110
logistic_reference,GLB-000523,0,1,false_positive,0.643913,normal,standard,,,logistic regression fitted on the development split; p(risk)=0.6439
logistic_reference,GLB-000156,1,0,false_negative,0.358062,materiality,standard,,,logistic regression fitted on the development split; p(risk)=0.3581
logistic_reference,GLB-000576,1,0,false_negative,0.369261,materiality,standard,,,logistic regression fitted on the development split; p(risk)=0.3693
logistic_reference,GLB-000335,0,1,false_positive,0.653979,normal,standard,,,logistic regression fitted on the development split; p(risk)=0.6540
logistic_reference,GLB-000095,0,1,false_positive,0.621252,normal,standard,,,logistic regression fitted on the development split; p(risk)=0.6213
logistic_reference,GLB-000595,0,1,false_positive,0.544439,normal,standard,,,logistic regression fitted on the development split; p(risk)=0.5444
logistic_reference,GLB-000383,0,1,false_positive,0.583469,normal,standard,,,logistic regression fitted on the development split; p(risk)=0.5835
rule_baseline,GLB-000513,0,1,false_positive,0.65,hard_negative,hard,,,materiality
rule_baseline,GLB-000349,0,1,false_positive,0.65,hard_negative,hard,,,materiality
rule_baseline,GLB-000281,0,1,false_positive,0.65,hard_negative,hard,,,materiality
rule_baseline,GLB-000061,0,1,false_positive,0.65,hard_negative,hard,,,materiality
rule_baseline,GLB-000217,0,1,false_positive,0.65,hard_negative,hard,,,materiality
rule_baseline,GLB-000488,1,0,false_negative,0.25,borderline,borderline,,,no rule fired
rule_baseline,GLB-000509,0,1,false_positive,0.65,hard_negative,hard,,,materiality
rule_baseline,GLB-000537,0,1,false_positive,0.65,hard_negative,hard,,,materiality
rule_baseline,GLB-000489,0,1,false_positive,0.65,hard_negative,hard,,,materiality
rule_baseline,GLB-000133,0,1,false_positive,0.65,hard_negative,hard,,,materiality
rule_baseline,GLB-000449,0,1,false_positive,0.65,hard_negative,hard,,,materiality
rule_baseline,GLB-000413,0,1,false_positive,0.65,hard_negative,hard,,,materiality
rule_baseline,GLB-000337,0,1,false_positive,0.65,hard_negative,hard,,,materiality
rule_baseline,GLB-000057,0,1,false_positive,0.65,hard_negative,hard,,,materiality
rule_baseline,GLB-000253,0,1,false_positive,0.65,hard_negative,hard,,,materiality
rule_baseline,GLB-000040,1,0,false_negative,0.25,borderline,borderline,,,no rule fired
rule_baseline,GLB-000201,0,1,false_positive,0.65,hard_negative,hard,,,materiality
rule_baseline,GLB-000597,0,1,false_positive,0.65,hard_negative,hard,,,materiality
rule_baseline,GLB-000581,0,1,false_positive,0.65,hard_negative,hard,,,materiality
rule_baseline,GLB-000477,0,1,false_positive,0.65,hard_negative,hard,,,materiality
rule_baseline,GLB-000313,0,1,false_positive,0.65,hard_negative,hard,,,materiality
rule_baseline,GLB-000390,1,0,false_negative,0.25,borderline,borderline,,,no rule fired
rule_baseline,GLB-000457,0,1,false_positive,0.65,hard_negative,hard,,,materiality
rule_baseline,GLB-000089,0,1,false_positive,0.65,hard_negative,hard,,,materiality
rule_baseline,GLB-000145,0,1,false_positive,0.65,hard_negative,hard,,,materiality
rule_baseline,GLB-000389,0,1,false_positive,0.65,hard_negative,hard,,,materiality
rule_baseline,GLB-000073,0,1,false_positive,0.65,hard_negative,hard,,,materiality
rule_baseline,GLB-000241,0,1,false_positive,0.65,hard_negative,hard,,,materiality
rule_baseline,GLB-000585,0,1,false_positive,0.65,hard_negative,hard,,,materiality
rule_baseline,GLB-000065,0,1,false_positive,0.65,hard_negative,hard,,,materiality
rule_baseline,GLB-000445,0,1,false_positive,0.65,hard_negative,hard,,,materiality
rule_baseline,GLB-000021,0,1,false_positive,0.65,hard_negative,hard,,,materiality
rule_baseline,GLB-000301,0,1,false_positive,0.65,hard_negative,hard,,,materiality
tree_reference,GLB-000087,0,1,false_positive,0.52766,normal,standard,,,depth-3 decision tree fitted on the development split; p(risk)=0.5277
tree_reference,GLB-000475,0,1,false_positive,0.52766,normal,standard,,,depth-3 decision tree fitted on the development split; p(risk)=0.5277
tree_reference,GLB-000515,0,1,false_positive,0.52766,normal,standard,,,depth-3 decision tree fitted on the development split; p(risk)=0.5277
tree_reference,GLB-000459,0,1,false_positive,0.52766,normal,standard,,,depth-3 decision tree fitted on the development split; p(risk)=0.5277
tree_reference,GLB-000211,0,1,false_positive,0.52766,normal,standard,,,depth-3 decision tree fitted on the development split; p(risk)=0.5277
tree_reference,GLB-000091,0,1,false_positive,0.52766,normal,standard,,,depth-3 decision tree fitted on the development split; p(risk)=0.5277
tree_reference,GLB-000551,0,1,false_positive,0.52766,normal,standard,,,depth-3 decision tree fitted on the development split; p(risk)=0.5277
tree_reference,GLB-000111,0,1,false_positive,0.52766,normal,standard,,,depth-3 decision tree fitted on the development split; p(risk)=0.5277
tree_reference,GLB-000007,0,1,false_positive,0.52766,normal,standard,,,depth-3 decision tree fitted on the development split; p(risk)=0.5277
tree_reference,GLB-000235,0,1,false_positive,0.52766,normal,standard,,,depth-3 decision tree fitted on the development split; p(risk)=0.5277
tree_reference,GLB-000268,1,0,false_negative,0.0,materiality,standard,,,depth-3 decision tree fitted on the development split; p(risk)=0.0000
tree_reference,GLB-000463,0,1,false_positive,0.52766,normal,standard,,,depth-3 decision tree fitted on the development split; p(risk)=0.5277
tree_reference,GLB-000267,0,1,false_positive,0.52766,normal,standard,,,depth-3 decision tree fitted on the development split; p(risk)=0.5277
tree_reference,GLB-000223,0,1,false_positive,0.52766,normal,standard,,,depth-3 decision tree fitted on the development split; p(risk)=0.5277
tree_reference,GLB-000011,0,1,false_positive,0.52766,normal,standard,,,depth-3 decision tree fitted on the development split; p(risk)=0.5277
tree_reference,GLB-000303,0,1,false_positive,0.52766,normal,standard,,,depth-3 decision tree fitted on the development split; p(risk)=0.5277
tree_reference,GLB-000055,0,1,false_positive,0.52766,normal,standard,,,depth-3 decision tree fitted on the development split; p(risk)=0.5277
tree_reference,GLB-000489,0,1,false_positive,0.583333,hard_negative,hard,,,depth-3 decision tree fitted on the development split; p(risk)=0.5833
tree_reference,GLB-000287,0,1,false_positive,0.82,normal,standard,,,depth-3 decision tree fitted on the development split; p(risk)=0.8200
tree_reference,GLB-000016,1,0,false_negative,0.235772,materiality,standard,,,depth-3 decision tree fitted on the development split; p(risk)=0.2358
tree_reference,GLB-000435,0,1,false_positive,0.52766,normal,standard,,,depth-3 decision tree fitted on the development split; p(risk)=0.5277
tree_reference,GLB-000539,0,1,false_positive,0.52766,normal,standard,,,depth-3 decision tree fitted on the development split; p(risk)=0.5277
tree_reference,GLB-000371,0,1,false_positive,0.52766,normal,standard,,,depth-3 decision tree fitted on the development split; p(risk)=0.5277
tree_reference,GLB-000455,0,1,false_positive,0.52766,normal,standard,,,depth-3 decision tree fitted on the development split; p(risk)=0.5277
tree_reference,GLB-000195,0,1,false_positive,0.52766,normal,standard,,,depth-3 decision tree fitted on the development split; p(risk)=0.5277
tree_reference,GLB-000151,0,1,false_positive,0.52766,normal,standard,,,depth-3 decision tree fitted on the development split; p(risk)=0.5277
tree_reference,GLB-000407,0,1,false_positive,0.52766,normal,standard,,,depth-3 decision tree fitted on the development split; p(risk)=0.5277
tree_reference,GLB-000419,0,1,false_positive,0.52766,normal,standard,,,depth-3 decision tree fitted on the development split; p(risk)=0.5277
tree_reference,GLB-000089,0,1,false_positive,1.0,hard_negative,hard,,,depth-3 decision tree fitted on the development split; p(risk)=1.0000
tree_reference,GLB-000523,0,1,false_positive,0.52766,normal,standard,,,depth-3 decision tree fitted on the development split; p(risk)=0.5277
tree_reference,GLB-000156,1,0,false_negative,0.235772,materiality,standard,,,depth-3 decision tree fitted on the development split; p(risk)=0.2358
tree_reference,GLB-000576,1,0,false_negative,0.235772,materiality,standard,,,depth-3 decision tree fitted on the development split; p(risk)=0.2358
tree_reference,GLB-000335,0,1,false_positive,0.52766,normal,standard,,,depth-3 decision tree fitted on the development split; p(risk)=0.5277
tree_reference,GLB-000095,0,1,false_positive,0.52766,normal,standard,,,depth-3 decision tree fitted on the development split; p(risk)=0.5277
tree_reference,GLB-000595,0,1,false_positive,0.52766,normal,standard,,,depth-3 decision tree fitted on the development split; p(risk)=0.5277
tree_reference,GLB-000383,0,1,false_positive,0.52766,normal,standard,,,depth-3 decision tree fitted on the development split; p(risk)=0.5277
